#,Name,Team,PA,wFA,wFC,wFS,wSI,wCH,wSL,wCU,wCS,wKN,wSB
133,Oswaldo Cabrera,NYY,21,0.2,0.4,,-0.5,1,1.4,0.5,,,
134,Oneil Cruz,PIT,21,0.5,-0.1,-0.4,0.6,0.4,0.1,-0.3,,,
135,Enmanuel Valdez,BOS,17,-0.1,-0.4,-0.3,-0.3,0,0.5,-0.1,,,
136,Will Benson,CIN,17,0.2,0.1,1.1,-0.8,-0.1,0.6,1.1,,,
137,Christopher Morel,CHC,17,0.5,0.6,0,-0.9,-0.4,0.4,1.5,,,
138,Brice Turang,MIL,11,-0.2,,,1.1,0,0.6,-0.4,,,
139,MJ Melendez,KCR,15,-0.1,-0.6,-0.2,0.6,0.7,0.1,-0.1,,,
140,Luis Campusano,SDP,26,0.2,0.2,,-1.1,-1.2,0.9,1.3,0,,
141,Jack Suwinski,PIT,17,-1.6,0.1,0.2,0,-0.9,0.6,-0.4,,,
142,Nolan Gorman,STL,23,-1.5,0.2,-0.2,0.2,0.4,-0.1,-0.1,,-0.5,
143,Jake Burger,MIA,23,0.4,0.1,-0.2,-2.1,0,1.3,-0.8,,,
144,Triston Casas,BOS,21,1.3,-0.4,0,-0.3,-0.4,-1.9,-0.1,,,
145,Tyler Freeman,CLE,19,0,0.1,,2.1,0.4,-0.8,0,,,
146,Lawrence Butler,OAK,17,-0.2,-1.1,-0.8,-0.1,-0.2,-0.6,0.7,,,
147,Alejandro Kirk,TOR,16,-0.2,-0.3,,-0.6,-0.6,-0.6,0.5,,,
148,Gabriel Moreno,ARI,17,0.1,1.3,-0.4,0,-1.2,-0.8,0,,,
149,Maikel Garcia,KCR,17,-0.6,-0.9,,-0.2,,1.1,1.4,,,
150,Geraldo Perdomo,ARI,19,0.7,0.2,-0.4,-0.3,-0.6,0,-0.1,,,
151,Yainer Diaz,HOU,20,3.6,0,,0.6,-0.2,0.6,-0.7,,,
152,Ryan Noda,OAK,18,-0.4,0.2,-0.5,-0.1,0.8,-0.6,-0.5,,,
153,Brayan Rocchio,CLE,17,-0.2,-0.5,,-0.2,0.3,1.2,-0.1,,,
154,Julio Rodríguez,SEA,21,0.5,-0.6,0,-1,-0.5,0.7,-0.2,,,
155,Ezequiel Tovar,COL,18,-0.3,-0.2,-0.3,0.8,-0.5,-0.4,-0.1,,,
156,Ceddanne Rafaela,BOS,17,0.5,0.1,-0.2,-1.2,0.1,0.4,0,,,
157,Steven Kwan,CLE,25,-0.9,2.2,,0,-0.8,-0.9,0.6,,,
158,Jarren Duran,BOS,23,-0.3,-0.9,-0.3,-0.8,0.3,-0.1,0.6,,,
159,Ryan Jeffers,MIN,13,-0.8,0,,-0.8,-0.2,-0.3,0.3,,,
160,Brendan Donovan,STL,23,-0.1,0,0,0.3,-0.1,1.1,-0.4,,0.1,
161,James Outman,LAD,26,-0.4,0.1,-0.1,-0.7,0.1,-1.3,-0.1,,,
162,Brenton Doyle,COL,17,-1.5,-0.1,0,1.9,,0.2,-0.5,,,
163,Bobby Witt Jr.,KCR,18,3,1.5,,0.5,,0.6,0,,,
164,CJ Abrams,WSN,19,0.4,-0.3,-0.3,0.6,-0.2,-0.1,1.3,,,
165,Jared Triolo,PIT,20,-1.2,0.2,0,0.5,-0.3,1.8,0,,,
166,Corbin Carroll,ARI,23,-0.4,-0.6,-0.2,0.1,-0.1,1.1,0,,,
167,Michael Harris II,ATL,18,0.8,1.4,0.5,0.4,-0.7,0.3,0.5,,,
168,Riley Greene,DET,17,-0.6,-0.1,,0.5,-0.1,-1.2,,,,
169,Francisco Alvarez,NYM,15,-0.2,0.5,,0.3,0.3,-1,1.4,,,
170,Andrew Vaughn,CHW,14,0.5,-0.1,-0.2,-0.4,-0.5,0.6,-0.6,,,
171,Adley Rutschman,BAL,17,-0.5,0.5,0.4,0,0.3,-0.1,0.6,,,
172,Gunnar Henderson,BAL,17,0.8,-0.2,,0.6,1.4,-0.3,0.1,,,
173,Bryson Stott,PHI,14,0.5,0,,-0.1,0,-0.2,-0.2,,,
174,Josh Jung,TEX,19,0.4,1.1,0,-1,1.1,0.7,1.6,,,
175,Michael Busch,CHC,16,-0.8,-0.1,-0.1,-0.5,0.6,0,0,,,
176,Spencer Steer,CIN,17,2.7,0,-0.3,0,0.3,0.1,-0.1,,,
177,JJ Bleday,OAK,20,1,0.6,0.2,0.6,-0.3,-0.9,0.5,,,
178,Elly De La Cruz,CIN,17,-0.3,0,-0.4,0.5,-0.7,-0.3,0.1,,,
179,Spencer Torkelson,DET,18,-0.8,0.5,,-0.2,-0.2,-1.3,,,,
180,Jordan Walker,STL,16,-1.4,-0.3,,0.5,-0.3,-0.1,0,,0,
181,Ha-Seong Kim,SDP,31,0.1,-0.1,-0.1,0.4,0.9,-0.9,0.1,,,
182,Edouard Julien,MIN,11,-0.1,,,0,0,-0.1,-0.2,,,
183,Anthony Volpe,NYY,18,1,-0.7,,1.9,0.5,1.7,0.8,,,
184,Vinnie Pasquantino,KCR,17,0.3,-0.1,-0.1,0,-0.5,-0.5,0,,,
185,Evan Carter,TEX,18,0.4,-0.8,0.1,-0.2,-0.4,-0.1,0.3,,,
186,Jordan Westburg,BAL,14,2.3,0,0.2,-0.7,0,-1,-0.7,,,
187,Colt Keith,DET,14,-1,-0.7,,0.1,-0.1,0.1,-0.2,,,
188,Jackson Chourio,MIL,13,-0.8,0.6,0,-0.3,0.5,0.9,-0.2,,,
189,Jackson Merrill,SDP,23,1.2,0.4,-0.2,-0.9,0.9,-0.6,-0.5,0,,
190,Henry Davis,PIT,21,-0.4,0.7,,-0.6,0.6,0.6,-0.1,,,
191,Sal Frelick,MIL,10,-0.5,-0.2,,-0.2,-0.2,0,-0.3,,,
192,Zack Gelof,OAK,21,-1.6,0,0.5,-0.1,-1,0.4,-0.2,,,
193,Christian Encarnacion-St...,CIN,18,-0.9,0,1.4,-2.1,0.4,-1.1,-0.3,,,
194,Seiya Suzuki,CHC,19,-0.5,0.5,-0.1,-0.2,-0.3,-0.4,-0.2,,,
195,Zach Neto,LAA,14,-0.1,0.4,,-0.5,-0.4,-0.5,-0.6,,,
196,Victor Scott II,STL,20,-0.7,-0.4,-0.1,1,-1.1,-0.3,0,-0.1,-0.1,
197,Masataka Yoshida,BOS,22,-1,-0.7,0.2,0.6,0.7,-0.5,-0.2,,,
198,Nolan Schanuel,LAA,16,0.7,-0.4,,0.2,-0.8,0.7,-0.2,,,
199,Wyatt Langford,TEX,20,-1.4,0,0.2,0.7,0.6,0.1,-0.8,,,
200,Jung Hoo Lee,SFG,24,-0.1,-0.6,0,-0.2,0.9,1.2,0.1,,,
