"","CF.Season","CF.Name","CF.Team.x","CF.G","CF.AB","CF.PA","CF.H","CF.B1","CF.B2","CF.B3","CF.HR","CF.R","CF.RBI","CF.BB","CF.IBB","CF.SO","CF.HBP","CF.SF","CF.SH","CF.GDP","CF.SB","CF.CS","CF.AVG","CF.BB_perc","CF.K_perc","CF.ISO","CF.BABIP","CF.OBP","CF.SLG","CF.wOBA","CF.wRC.","CF.BsR","CF.Off","CF.WAR","CF.Team.y","CF.Position","CF.score","CF.perPA","CF.perAB"
"33",2023,"Brandon Marsh","PHI",133,404,472,112,69,25,6,12,58,60,59,2,144,4,4,1,4,10,2,0.277,0.125,0.305,0.181,0.397,0.372,0.458,0.358,125,3.1,17.5,3.4,"PHI","CF",230,0.48728813559322,0.569306930693069
"34",2023,"Jason Heyward","LAD",124,334,377,90,52,23,0,15,56,40,34,1,64,3,3,0,7,2,2,0.269,0.09,0.17,0.204,0.291,0.34,0.473,0.348,121,-0.8,8.8,2.2,"LAD","CF",227,0.602122015915119,0.679640718562874
"35",2023,"Enrique Hernández","2 Tms",140,465,508,110,76,23,0,11,57,61,34,1,97,3,6,0,17,4,1,0.237,0.067,0.191,0.12,0.273,0.289,0.357,0.282,72,-3.1,-20,-1.3,"2 Tms","CF",226,0.44488188976378,0.486021505376344
"36",2023,"Trent Grisham","SDP",153,469,555,93,48,31,1,13,67,50,75,0,154,5,1,4,7,15,3,0.198,0.135,0.277,0.154,0.264,0.315,0.352,0.299,91,4,-2.4,1.7,"SDP","CF",218,0.392792792792793,0.464818763326226
"37",2023,"Mike Tauchman","CHC",108,337,401,85,59,18,0,8,64,48,56,1,86,4,3,1,3,7,1,0.252,0.14,0.214,0.125,0.313,0.363,0.377,0.33,107,2.3,5.9,1.8,"CHC","CF",217,0.541147132169576,0.643916913946588
"38",2023,"Will Brennan","CLE",138,432,455,115,86,24,0,5,41,41,16,2,57,5,2,0,4,13,5,0.266,0.035,0.125,0.09,0.296,0.299,0.356,0.285,81,1.1,-9.4,0.7,"CLE","CF",210,0.461538461538462,0.486111111111111
"39",2023,"Willi Castro","MIN",124,358,409,92,60,18,5,9,60,34,34,1,99,12,3,2,5,33,5,0.257,0.083,0.242,0.154,0.328,0.339,0.411,0.327,109,6.4,10.9,2.5,"MIN","CF",210,0.513447432762836,0.58659217877095
"40",2023,"Kevin Kiermaier","TOR",129,370,408,98,63,21,6,8,58,36,29,0,86,4,4,1,9,14,1,0.265,0.071,0.211,0.154,0.321,0.322,0.419,0.32,104,-2.7,-0.6,2.2,"TOR","CF",206,0.504901960784314,0.556756756756757
"41",2023,"Jarren Duran","BOS",102,332,362,98,54,34,2,8,46,40,24,1,90,3,2,0,3,24,2,0.295,0.066,0.249,0.187,0.381,0.346,0.482,0.354,120,5.9,14.6,2.4,"BOS","CF",205,0.566298342541437,0.617469879518072
"42",2023,"Zach McKinstry","DET",148,464,518,107,73,21,4,9,60,35,44,0,113,5,3,2,3,16,6,0.231,0.085,0.218,0.121,0.284,0.302,0.351,0.289,81,1.7,-10,1.2,"DET","CF",205,0.395752895752896,0.441810344827586
"43",2023,"Mike Yastrzemski","SFG",106,330,381,77,38,23,1,15,54,43,45,3,99,3,1,2,5,2,2,0.233,0.118,0.26,0.212,0.286,0.33,0.445,0.333,112,0.2,5.9,1.8,"SFG","CF",195,0.511811023622047,0.590909090909091
