,SS.Season,SS.Name,SS.Team.x,SS.G,SS.AB,SS.PA,SS.H,SS.B1,SS.B2,SS.B3,SS.HR,SS.R,SS.RBI,SS.BB,SS.IBB,SS.SO,SS.HBP,SS.SF,SS.SH,SS.GDP,SS.SB,SS.CS,SS.AVG,SS.BB_perc,SS.K_perc,SS.ISO,SS.BABIP,SS.OBP,SS.SLG,SS.wOBA,SS.wRC.,SS.BsR,SS.Off,SS.WAR,SS.Team.y,SS.Position,SS.score,SS.perPA,SS.perAB
25,2023,Thairo Estrada,SFG,120,495,530,134,92,26,2,14,63,49,22,1,120,11,2,0,10,23,7,0.271,0.042,0.226,0.145,0.331,0.315,0.416,0.316,101,4.8,5.4,3.9,SFG,SS,244,0.460377358,0.492929293
26,2023,Anthony Volpe,NYY,159,541,601,113,65,23,4,21,62,60,52,0,167,5,2,1,10,24,5,0.209,0.087,0.278,0.174,0.259,0.283,0.383,0.29,84,3.5,-7.8,1.9,NYY,SS,238,0.396006656,0.439926063
27,2023,Christopher Morel,CHC,107,388,429,96,50,17,3,26,62,70,36,0,133,2,2,1,7,6,2,0.247,0.084,0.31,0.26,0.303,0.313,0.508,0.347,119,2.3,12.3,1.4,CHC,SS,238,0.554778555,0.613402062
28,2023,Matt McLain,CIN,89,365,403,106,63,23,4,16,65,50,31,0,115,7,0,0,5,14,5,0.29,0.077,0.285,0.216,0.385,0.357,0.507,0.37,128,0.8,14.9,3.2,CIN,SS,230,0.570719603,0.630136986
29,2023,Enrique Hernández,2 Tms,140,465,508,110,76,23,0,11,57,61,34,1,97,3,6,0,17,4,1,0.237,0.067,0.191,0.12,0.273,0.289,0.357,0.282,72,-3.1,-20,-1.3,2 Tms,SS,226,0.44488189,0.486021505
30,2023,Maikel Garcia,KCR,123,464,515,126,98,20,4,4,59,50,38,0,115,2,10,1,9,23,7,0.272,0.074,0.223,0.086,0.344,0.323,0.358,0.299,84,-0.8,-10.7,1.9,KCR,SS,221,0.429126214,0.476293103
31,2023,Jon Berti,MIA,133,388,424,114,88,16,3,7,53,33,29,2,77,2,3,2,10,16,6,0.294,0.068,0.182,0.111,0.349,0.344,0.405,0.325,103,0.6,1.9,2.1,MIA,SS,213,0.502358491,0.548969072
32,2023,Willi Castro,MIN,124,358,409,92,60,18,5,9,60,34,34,1,99,12,3,2,5,33,5,0.257,0.083,0.242,0.154,0.328,0.339,0.411,0.327,109,6.4,10.9,2.5,MIN,SS,210,0.513447433,0.586592179
33,2023,Zach McKinstry,DET,148,464,518,107,73,21,4,9,60,35,44,0,113,5,3,2,3,16,6,0.231,0.085,0.218,0.121,0.284,0.302,0.351,0.289,81,1.7,-10,1.2,DET,SS,205,0.395752896,0.441810345
34,2023,Elly De La Cruz,CIN,98,388,427,91,56,15,7,13,67,44,35,3,144,2,1,1,6,35,8,0.235,0.082,0.337,0.175,0.336,0.3,0.41,0.305,84,5,-3.3,1.7,CIN,SS,199,0.466042155,0.512886598
35,2023,Javier Báez,DET,136,510,547,113,82,18,4,9,58,59,24,0,125,9,3,0,12,12,0,0.222,0.044,0.229,0.104,0.274,0.267,0.325,0.261,61,2.3,-23,0.8,DET,SS,194,0.354661792,0.380392157
36,2023,Ezequiel Duran,TEX,122,406,439,112,74,22,2,14,55,46,23,1,120,7,2,1,7,8,4,0.276,0.052,0.273,0.167,0.358,0.324,0.443,0.33,107,-3.8,0.1,0.9,TEX,SS,193,0.439635535,0.475369458
37,2023,Miguel Rojas,LAD,125,385,423,91,69,16,1,5,49,31,26,0,48,5,5,2,12,8,3,0.236,0.061,0.113,0.086,0.255,0.29,0.322,0.271,69,-1.9,-18.1,0.6,LAD,SS,190,0.449172577,0.493506494
38,2023,Elvis Andrus,CHW,112,374,406,94,67,20,1,6,39,44,25,1,71,4,2,1,11,12,4,0.251,0.062,0.175,0.107,0.294,0.304,0.358,0.29,81,0.9,-8.3,1.1,CHW,SS,184,0.45320197,0.49197861
39,2023,Chris Taylor,LAD,117,338,384,80,49,15,1,15,51,56,41,2,125,4,1,0,2,16,3,0.237,0.107,0.326,0.183,0.327,0.326,0.42,0.323,104,3.3,5.4,1.9,LAD,SS,183,0.4765625,0.541420118
40,2023,Brice Turang,MIL,137,404,448,88,70,9,3,6,46,34,38,1,94,1,2,3,9,26,4,0.218,0.085,0.21,0.082,0.268,0.285,0.3,0.262,60,3.9,-18.1,0.2,MIL,SS,172,0.383928571,0.425742574
41,2023,Jorge Mateo,BAL,116,318,350,69,46,14,2,7,58,34,22,0,82,1,3,5,8,32,5,0.217,0.063,0.234,0.123,0.267,0.267,0.34,0.265,67,4.3,-9.5,0.5,BAL,SS,172,0.491428571,0.540880503
42,2023,Kyle Farmer,MIN,120,336,369,86,59,14,2,11,49,46,23,0,86,8,2,0,7,2,4,0.256,0.062,0.233,0.152,0.311,0.317,0.408,0.316,101,0.5,1,1.6,MIN,SS,171,0.463414634,0.508928571
43,2023,Taylor Walls,TBR,99,303,349,61,39,12,2,8,50,36,44,0,92,1,0,1,1,22,1,0.201,0.126,0.264,0.132,0.261,0.305,0.333,0.287,85,6.5,0.1,1,TBR,SS,161,0.461318052,0.531353135
44,2023,Ildemaro Vargas,WSN,86,262,286,66,47,13,2,4,32,31,19,0,20,1,1,3,10,1,1,0.252,0.066,0.07,0.111,0.259,0.304,0.363,0.292,81,-2.7,-9.6,0.1,WSN,SS,158,0.552447552,0.603053435
45,2023,Ji Hwan Bae,PIT,111,334,371,77,56,17,2,2,54,32,30,0,92,2,2,3,4,24,9,0.231,0.081,0.248,0.081,0.31,0.296,0.311,0.272,66,2.9,-12.7,-0.3,PIT,SS,152,0.409703504,0.45508982
46,2023,Tim Anderson,CHW,123,493,524,121,100,18,2,1,52,25,26,0,122,3,2,0,15,13,2,0.245,0.05,0.233,0.051,0.323,0.286,0.296,0.26,60,-1,-26.1,-0.5,CHW,SS,140,0.267175573,0.283975659
47,2023,Andruw Monasterio,MIL,92,282,315,73,55,14,1,3,38,27,28,0,66,3,2,0,9,7,2,0.259,0.089,0.21,0.089,0.326,0.33,0.348,0.302,88,-3.2,-8.1,0.4,MIL,SS,132,0.419047619,0.468085106
48,2023,Kevin Newman,CIN,74,225,253,57,38,16,0,3,28,28,17,0,34,4,5,2,7,8,1,0.253,0.067,0.134,0.111,0.28,0.311,0.364,0.296,78,0,-6.8,0,CIN,SS,129,0.509881423,0.573333333
49,2023,Zach Neto,LAA,84,289,329,65,39,17,0,9,38,34,20,0,77,16,3,1,5,5,1,0.225,0.061,0.234,0.152,0.272,0.308,0.377,0.302,89,-0.4,-4.9,1.1,LAA,SS,129,0.392097264,0.446366782
50,2023,José Caballero,SEA,104,231,280,51,37,9,1,4,37,26,28,0,66,17,4,0,0,26,3,0.221,0.1,0.236,0.1,0.285,0.343,0.32,0.305,96,5.2,4,2.2,SEA,SS,125,0.446428571,0.541125541
51,2023,Edmundo Sosa,PHI,104,279,300,70,43,15,2,10,34,30,8,0,74,9,1,2,10,4,2,0.251,0.027,0.247,0.176,0.306,0.293,0.427,0.309,92,0,-3,0.9,PHI,SS,121,0.403333333,0.433691756
