"","RF.Season","RF.Name","RF.Team.x","RF.G","RF.AB","RF.PA","RF.H","RF.B1","RF.B2","RF.B3","RF.HR","RF.R","RF.RBI","RF.BB","RF.IBB","RF.SO","RF.HBP","RF.SF","RF.SH","RF.GDP","RF.SB","RF.CS","RF.AVG","RF.BB_perc","RF.K_perc","RF.ISO","RF.BABIP","RF.OBP","RF.SLG","RF.wOBA","RF.wRC.","RF.BsR","RF.Off","RF.WAR","RF.Team.y","RF.Position","RF.score","RF.perPA","RF.perAB"
"50",2023,"Jordan Walker","STL",117,420,465,116,79,19,2,16,51,51,37,0,104,6,2,0,9,7,4,0.276,0.08,0.224,0.169,0.331,0.342,0.445,0.341,116,-1.2,8.1,0.2,"STL","RF",229,0.49247311827957,0.545238095238095
"51",2023,"Jason Heyward","LAD",124,334,377,90,52,23,0,15,56,40,34,1,64,3,3,0,7,2,2,0.269,0.09,0.17,0.204,0.291,0.34,0.473,0.348,121,-0.8,8.8,2.2,"LAD","RF",227,0.602122015915119,0.679640718562874
"52",2023,"Michael Conforto","SFG",125,406,470,97,68,14,0,15,58,58,53,4,106,7,4,0,12,4,0,0.239,0.113,0.226,0.145,0.284,0.334,0.384,0.315,100,0.6,0.6,1.1,"SFG","RF",227,0.482978723404255,0.559113300492611
"53",2023,"Enrique Hernández","2 Tms",140,465,508,110,76,23,0,11,57,61,34,1,97,3,6,0,17,4,1,0.237,0.067,0.191,0.12,0.273,0.289,0.357,0.282,72,-3.1,-20,-1.3,"LAD","RF",226,0.44488188976378,0.486021505376344
"54",2023,"Connor Joe","PIT",133,413,472,102,56,31,4,11,63,42,50,0,110,8,1,0,4,3,5,0.247,0.106,0.233,0.174,0.311,0.339,0.421,0.332,107,0.6,4.5,1.9,"PIT","RF",222,0.470338983050847,0.537530266343826
"55",2023,"Mike Tauchman","CHC",108,337,401,85,59,18,0,8,64,48,56,1,86,4,3,1,3,7,1,0.252,0.14,0.214,0.125,0.313,0.363,0.377,0.33,107,2.3,5.9,1.8,"CHC","RF",217,0.541147132169576,0.643916913946588
"56",2023,"Ryan O'Hearn","BAL",112,346,368,100,63,22,1,14,48,60,15,2,82,3,3,1,2,5,1,0.289,0.041,0.223,0.191,0.34,0.322,0.48,0.339,118,-0.4,7.7,1.4,"BAL","RF",214,0.581521739130435,0.61849710982659
"57",2023,"Edward Olivares","KCR",107,354,385,93,54,23,4,12,47,36,22,1,64,7,2,0,7,11,5,0.263,0.057,0.166,0.189,0.289,0.317,0.452,0.329,105,-0.6,1.6,0.4,"KCR","RF",213,0.553246753246753,0.601694915254237
"58",2023,"Will Brennan","CLE",138,432,455,115,86,24,0,5,41,41,16,2,57,5,2,0,4,13,5,0.266,0.035,0.125,0.09,0.296,0.299,0.356,0.285,81,1.1,-9.4,0.7,"CLE","RF",210,0.461538461538462,0.486111111111111
"59",2023,"Willi Castro","MIN",124,358,409,92,60,18,5,9,60,34,34,1,99,12,3,2,5,33,5,0.257,0.083,0.242,0.154,0.328,0.339,0.411,0.327,109,6.4,10.9,2.5,"MIN","RF",210,0.513447432762836,0.58659217877095
"60",2023,"Brendan Donovan","STL",95,327,371,93,71,10,1,11,48,34,33,2,53,9,1,1,4,5,1,0.284,0.089,0.143,0.138,0.311,0.365,0.422,0.345,118,3.1,11.6,2.1,"STL","RF",207,0.557951482479784,0.63302752293578
"61",2023,"David Peralta","LAD",133,394,422,102,69,25,1,7,47,55,20,1,72,2,6,0,8,4,1,0.259,0.047,0.171,0.122,0.296,0.294,0.381,0.29,82,-4.1,-13.4,0.1,"LAD","RF",205,0.485781990521327,0.520304568527919
