"","X1B.Season","X1B.Name","X1B.Team.x","X1B.G","X1B.AB","X1B.PA","X1B.H","X1B.B1","X1B.B2","X1B.B3","X1B.HR","X1B.R","X1B.RBI","X1B.BB","X1B.IBB","X1B.SO","X1B.HBP","X1B.SF","X1B.SH","X1B.GDP","X1B.SB","X1B.CS","X1B.AVG","X1B.BB_perc","X1B.K_perc","X1B.ISO","X1B.BABIP","X1B.OBP","X1B.SLG","X1B.wOBA","X1B.wRC.","X1B.BsR","X1B.Off","X1B.WAR","X1B.Team.y","X1B.Position","X1B.score","X1B.perPA","X1B.perAB"
"34",2023,"Harold Ramírez","TBR",122,400,434,125,92,19,2,12,58,68,22,0,79,6,6,0,7,5,3,0.313,0.051,0.182,0.148,0.359,0.353,0.46,0.349,128,1.5,16,1.8,"TBR","1B",258,0.594470046082949,0.645
"35",2023,"Ryan Mountcastle","BAL",115,423,470,114,74,21,1,18,64,68,37,1,107,3,7,0,13,3,1,0.27,0.079,0.228,0.182,0.315,0.328,0.452,0.333,114,0.9,9,1.7,"BAL","1B",257,0.546808510638298,0.607565011820331
"36",2023,"Salvador Perez","KCR",140,538,580,137,93,21,0,23,59,80,19,6,135,13,8,0,11,0,0,0.255,0.033,0.233,0.167,0.294,0.292,0.422,0.302,86,-3.5,-13.1,-0.3,"KCR","1B",256,0.441379310344828,0.475836431226766
"37",2023,"Dominic Smith","WSN",153,527,586,134,100,21,1,12,57,46,47,1,91,10,2,0,12,1,1,0.254,0.08,0.155,0.112,0.286,0.326,0.366,0.306,90,-3.9,-11.1,0.1,"WSN","1B",254,0.433447098976109,0.481973434535104
"38",2023,"Hunter Renfroe","2 Tms",140,498,548,116,65,31,0,20,60,60,44,0,125,3,3,0,15,0,0,0.233,0.08,0.228,0.183,0.27,0.297,0.416,0.308,92,-1.5,-6.6,0.6,"LAA","1B",246,0.448905109489051,0.493975903614458
"39",2023,"Yainer Diaz","HOU",104,355,377,100,55,22,0,23,51,60,11,0,74,5,6,0,12,0,0,0.282,0.029,0.196,0.256,0.292,0.308,0.538,0.354,127,-4.3,7.8,2,"HOU","1B",239,0.63395225464191,0.673239436619718
"40",2023,"DJ LeMahieu","NYY",136,497,562,121,81,22,3,15,55,44,60,2,125,3,2,0,14,2,2,0.243,0.107,0.222,0.147,0.295,0.327,0.39,0.315,101,-7,-6.3,1.1,"NYY","1B",232,0.412811387900356,0.466800804828974
"41",2023,"Jake Cronenworth","SDP",127,458,522,105,64,24,7,10,54,48,46,2,97,11,5,1,8,6,1,0.229,0.088,0.186,0.148,0.267,0.312,0.378,0.301,92,3.2,-1.9,1,"SDP","1B",232,0.444444444444444,0.506550218340611
"42",2023,"Jurickson Profar","2 Tms",125,459,521,111,73,27,2,9,55,46,50,0,90,6,5,0,11,1,0,0.242,0.096,0.173,0.126,0.279,0.321,0.368,0.304,76,-3,-18.4,-2,"SDP","1B",231,0.443378119001919,0.503267973856209
"43",2023,"J.D. Davis","SFG",144,480,546,119,77,23,1,18,61,69,52,0,152,6,6,0,16,1,0,0.248,0.095,0.278,0.165,0.32,0.325,0.413,0.321,104,-2.3,0.5,2.2,"SFG","1B",229,0.419413919413919,0.477083333333333
